,title
3159,Annual U.S. Congress baseball game brings unity after shooting
3160,'Unremarkable' Virginia attacker shows difficulty of fighting political violence
3161,Rosenstein may need to recuse himself from Russia probe:
3162,Trump says in tweet no proof of his 'collusion with the Russians'
3163,"Trump to limit Cuba travel, restrict business deals with military:"
3164,Pence hires his own lawyer for Russia probes
3165,"United States, China to meet on North Korea on Wednesday"
3166,U.S. rescinds Obama plan for some undocumented parents
3167,U.S. congressman's condition improves but still critical after shooting
3168,Kansas governor signs school funding bill aimed at adequacy
3169,"Pence slams Venezuela government, drawing rebuke from Maduro"
3170,"Opposing Trump, conservative bloc demands reforms to internet spy law"
3171,"U.S. Senate votes near unanimously for Russia, Iran sanctions"
3172,White House says existing sanctions against Russia are effective
3173,Texas governor approves adoption bill that critics contend discriminates
3174,U.S. states could not set self-driving car rules under Republican plan
3175,Pence hires counsel to deal with Russia probe inquiries
3176,U.S. consumer financial watchdog accuses congressional critics of  'misstatements'
3177,Putin quips he's ready to grant asylum to ex-FBI chief Comey
3178,White House does not yet have plan on debt limit:
3179,White House scraps some agency paperwork rules in push for efficiency
3180,Illinois governor orders special session to break budget impasse
3181,Trump visits U.S. Supreme Court as justices weigh travel ban
3182,Scalise in critical condition after attack by gunman at baseball field
3183,Scalise undergoes more surgery:
3184,Ex-Homeland Secretary Johnson to testify in Russia probe: House intel panel
3185,What we know about U.S. probes of Russian meddling in 2016 election
3186,Senate may keep some Obamacare taxes in U.S. healthcare overhaul
3187,"Democrats must focus on swing suburbs to win elections, Chicago mayor says"
3188," U.S. lawmaker, others in hospital after shooting at baseball practice"
3189,Man who accused Seattle mayor of sexual abuse drops lawsuit
3190,Six Michigan officials criminally charged in Flint water crisis
3191,Gunfire turns U.S. lawmakers' baseball practice into 'killing field'
3192,Suspect in baseball field shooting ranted against Trump on social media
3193,Trump to name Republican donor Kelly Craft as ambassador to Canada:
3194,Trump administration amends travel ban date to keep legal battle alive
3195,Democratic lawmakers sue Trump over foreign state payments to businesses
3196,Staunchly conservative U.S. lawmaker Scalise among wounded in shooting
3197,No hint of new gun control push in U.S. Congress after shootings
3198,Trump nominates Democrat Rosenworcel to serve again as FCC commissioner
3199,Senate backs legislation to slap new sanctions on Russia
3200,Trump says suspected gunman who shot at lawmakers is now dead
3201,Baseball field shooting shakes American symbol of fair play
3202,White House cancels Trump event at Labor Dept after gunman shoots lawmaker
3203,Trump to deliver statement on shooting of lawmaker on Wednesday
3204,U.S. doesn't want to be 'handcuffed' to Ukraine agreement
3205,"Tillerson: U.S. committed to 'One China' policy, also Taiwan"
3206,Defense chief say he has power to set Afghan troop levels
3207,U.S. military dismisses chance of massive troop surge in Afghanistan
3208,Tillerson calls China cooperation on North Korea 'uneven'
3209,Trump takes second crack at a pivot next week with apprentice push
3210,Alexandria police chief says five people taken to hospitals after shooting
3211,Trump gives military authority to set Afghan troop levels: U.S.
3212,Race for governor in Virginia set after tight primary race
3213,"U.S. attorney general dodges Trump questions, angering Democrats"
3214,Trump has 'no intention' of firing special counsel Mueller:
3215,Tillerson signals tough Trump administration stance on Cuba
3216,U.S. weighs sanctions on countries doing business with North Korea
3217,"Trump hosts lunch with Republican senators, Obamacare repeal on menu"
3218,No cause to fire special counsel Mueller: deputy attorney general
3219,Supreme Court gives Trump more time to file travel ban briefs
3220,Trump's personal lawyer says been asked to testify to House panel September 5
3221,Trump legal team delays filing leak complaint against Comey
3222,Senators unveil road map for self-driving car legislation
3223,Republicans retreat from plan to curb some press camera access in U.S. Capitol
3224,Trump to resume precision munitions deliveries to Saudis:
3225,Comey's friend says he's turning over Comey's Trump memos to FBI:
3226,"U.S. 'not winning' in Afghanistan, Defense Secretary tells Congress"
3227,Senate Democrats seek probes of administration's secret messaging
3228,"California governor, legislature agree on final budget"
3229,COVFEFE Act would preserve Trump's tweets as official statements
3230,Trump says healthcare reform push may need additional money
3231,U.S. Defense Dept needs to better manage its finances:
3232,U.S. military unfunded requirement list at $33 billion:
3233,Tillerson says working to bring stability to Russia ties
3234,No indication Russia wants positive relationship with U.S.:
3235,U.S. senators reach deal on Russia sanctions
3236,U.S. will have to work with others to deny North Korea fuel supplies:
3237,U.S. strikes against pro-Syrian government forces in self-defense:
3238,Trump eyes Supreme Court after appeals court rejects travel ban
3239,U.S. federal government can pay bills through early September:
3240,Trump to host South Korea president June 29-30:
3241,Mattis says options on Afghanistan to be presented to Trump 'very soon'
3242,Attorney General Sessions to talk publicly to U.S. Senate panel
3243,"At Trump's Cabinet meeting, flattery is flavor of the day"
3244,Another U.S. appeals court refuses to revive Trump travel ban
3245,Montana congressman-elect sentenced to community work for assaulting reporter
3246,U.S. targets Iraqis for deportation in wake of travel ban deal
3247,U.S. Interior chief recommends shrinking Utah's Bears Ears monument
3248, Review of U.S. national monuments could unlock new energy reserves
3249,Interior Secretary to make proposal on Bears Ears monument in test for protected land
3250,Charter schools see opportunity with Republicans in power:
3251,Another U.S. appeals court refuses to revive Trump travel ban
3252,Puerto Rico governor vows statehood push after referendum win
3253,"Maryland, District of Columbia sue over payments to Trump hotels"
3254,Supreme Court invalidates gender inequality in citizenship law
3255,U.S. appeals court ruling on Trump's revised travel ban imminent
3256,Trump says he will discuss Islamic State fight in two weeks
3257,Puerto Rico votes in favor of U.S. statehood amid low turnout
3258,Trump officials to unveil plan to cut factory rules this week
3259,"Britain, U.S. deny that Trump state visit delayed"
3260,Sessions says he will discuss Comey with Senate panel
3261,Bernie Sanders urges progressives to seek more electoral wins
3262,Fannie Mae's Brooks to be nominated U.S. deputy Treasury secretary -Axios
3263,"Trump says Comey not telling truth, willing to respond under oath"
3264,U.S. seeks to dismiss lawsuit against Trump over foreign payments
3265,"After sowing doubts, Trump backs NATO mutual defense under charter"
3266,Trump expected to unveil new Cuba policy as early as next Friday:
3267,Trump to nominate Nathan Sales as counterterrorism coordinator:
3268,Trump to nominate ex-NYSE Euronext VP Dawn DeBerry Stump to CFTC
3269,About 19.5 million U.S. viewers watched Comey testify about Trump
3270,"   - Comey, Dodd-Frank repeal, jobs"
3271,New York attorney general looking at Eric Trump charity's payouts
3272,Florida governor signs bolstered 'stand your ground' law
3273,Some Republican lawmakers urge Trump not to reverse Cuba opening
3274,Civil rights groups sue Missouri to stop voter ID law
3275,House panel wants Comey recordings
3276,Trump to visit Poland in July:
3277,Exclusive: Trump targets illegal immigrants who were given reprieves from deportation by Obama
3278,"Mnuchin not worried by lower U.S. tax receipts, has funding plan"
3279,Trump social media director violated law with call to oust congressman:
3280,Trump says '100 percent' willing to respond to Comey under oath
3281,'Nonsense': Powerful Republican denounces White House information shut-out
3282,House Freedom Caucus chief calls for U.S. tax reform plan by end-July
3283,Trump says Comey testimony showed 'no obstruction'
3284,Delaware is first U.S. state to enact abortion rights law under Trump
3285,Coalition of 13 states to challenge Trump on vehicle emission standards
3286,Pelosi says Trump abused power in interactions with ex-FBI chief
3287,"White House, Congress Republicans nearing key tax overhaul decisions"
3288,Trump spoke by phone to Egypt's Sisi to discuss Qatar:
3289,Wilbur Ross seen imposing Mexico sugar deal over industry objections
3290,U.S. aims to trim its U.N. peacekeeping bill after Trump's calls to slash
3291,Trump announces push to speed up 'desperately-needed infrastructure'
3292,Pelosi says she hopes U.S. debt ceiling will be raised without debate
3293,"Trump legal team to file complaint over Comey memos, source says"
3294,Lordy! Ex-FBI chief sets Twitter abuzz but @realDonaldTrump is silent
3295,Russia may seize U.S. property if its own compounds not returned:
3296,Montana congressman-elect to be sentenced for altercation with reporter
3297,Comey says Trump fired him to undermine FBI Russia investigation
3298,Trump lawyer criticizes Comey's leak to news media
3299,"Trump still standing, but damaged by Comey's testimony"
3300,"Trump attorney disputes Comey testimony, slams leak"
3301,Former FBI chief's ire over Trump laid bare in testimony
3302,"Trump, as Comey takes spotlight, vows to stay strong and fight"
3303,Republicans take knife to post-crisis Wall Street reforms
3304,Trump chooses fundraiser Scaramucci for ambassador to OECD:
3305,Q&A: What we know about U.S. probes of Russian meddling in 2016 election
3306,Trump voter fraud official announces bid for Kansas governor
3307,Treasury's Mnuchin to bring up defense on Ottawa trip: U.S.
3308,Instant View: Comey accuses Trump administration of defaming him
3309,U.S. concerned Iraqi Kurdish referendum will distract from war:
3310,"Some toast Comey testimony, others shrug at U.S. bar 'watch parties'"
3311,Paul Ryan cites Trump lack of experience amid FBI Russia probe
3312,Wilbur Ross sees 'genuine' national security concern on steel
3313,Trump committed to fair U.S. elections free from any interference:
3314,Trump disputes two key points in Comey testimony:
3315,Former FBI chief Comey says confused by shifting explanations of his firing
3316,Americans should hear both from Comey and Trump: Republican panel chairman
3317,"Comey testimony disturbing, Trump appears to threaten job:"
3318,Ex-FBI chief Comey tells U.S. senators Trump pressured him on Russia probe
3319,Text: Ex-FBI Director Comey's prepared testimony to Senate panel
3320,Comey account could fuel obstruction accusations against Trump:
3321,Trump aides tell him to keep Sessions as U.S. attorney general:
3322,Illinois gets June 20 deadline to boost Medicaid funding
3323,Michigan state House approves carrying concealed guns without permit
3324,U.S. bars throwing 'covfefe' parties for televised Comey testimony
3325,Trump picks white-collar crime lawyer to replace Comey at FBI
3326,Trump FBI nominee's corporate legal work could exclude him from some probes
3327,Debt limit showdown looms sooner as wealthy bet on Trump tax cut
3328, Former FBI Director Comey testimony on conversations with Trump
3329,Hawaii enacts law committing to goals of Paris climate accord
3330,Connecticut Senate passes bill allowing purchase of nuclear power
3331,Trump pushes infrastructure plan as Russia probe heats up
3332,feels 'totally vindicated' by Comey testimony: Trump
3333,Autos need devices to curb child heatstroke deaths:
3334,U.S. might expand laptop ban to 71 airports:
3335,Top Senate intelligence Democrat: 'more investigating to do'
3336,Q&A: What we know about U.S. probes of Russian meddling in 2016 election
3337,Texas enacts new abortion restrictions that include tissue disposal
3338,"Trump says Obamacare in 'death spiral,' urges Congress to act"
3339,U.S. Labor Department rescinds Obama-era rule on 'joint employment'
3340,Missouri governor calls special session on abortion
3341,Senators criticize Trump's information shut-out to Democrats
3342,U.S. Gulf Coast groups concerned as Trump picks BP lawyer to top DOJ post
3343,Justice Department halts settlements funding outside groups
3344,Kansas governor denounces legislature's action to raise taxes
3345,"U.S. Senate advances Iran sanctions bill, eyes new Russia sanctions"
3346,"White House, intel chiefs want to make digital spying law permanent"
3347,"Comey says Trump told him, 'I need loyalty. I expect loyalty'"
3348,Senators challenge Trump plan to privatize air traffic control
3349,U.S. spy agencies probe another flank in Russian hacking
3350,Taking a tough stance on summer: conservatives in U.S. House
3351,Senate tax chief says scope for tax cuts still unclear
3352,"NSA chief, intelligence director won't comment on Trump conversations"
3353,House Speaker does not rule out amendments to debt limit bill
3354,U.S. House panel says its Russia probe continues after political feud
3355,Watergate 'pales' compared with Trump-Russia: former U.S. intelligence head
3356,Trump to give remarks on healthcare at 12:55 p.m. (1655 GMT):
3357,White House's Cohn: 'All on board' to do tax reform this year:
3358,Trump seeks legislative wins to cast off shadow of Russia probes
3359,Filmmaker Michael Moore launches 'TrumpiLeaks' website for whistleblowers
3360,N.J. favorites to succeed Christie head for November showdown
3361,Alaska governor urges budget compromise to avoid state shutdown
3362,Cautious Comey expected in U.S. hearing on Trump-Russia probes
3363,Senators grill U.S. education secretary on proposal to slash budget
3364,Trump says ahead of former FBI Director Comey's testimony: 'I wish him luck'
3365,Former Corinthian college students await loan relief:
3366,U.S. Patent and Trademark Office head Michelle Lee resigns
3367,U.S. Congress plans self-driving car legislation to speed rollout
3368,Trump's blocking of Twitter users violates U.S. Constitution:
3369,Texas governor calls legislative session; could include bathroom bill
3370,"Trump's UK visit on despite criticism, says foreign secretary"
3371,Possible ruling soon on Illinois Medicaid payment priority
3372,"Despite Trump vow to end catch and release, he is still freeing thousands of migrants"
3373,Republican officials from 16 states back Trump in travel ban fight
3374,Mnuchin says trade focus with China is issue specific
3375,U.S. small businesses to lobby Congress to oppose border tax
3376,"Mexico to cut share of refined sugar sent to U.S., minister says"
3377,Trump's 'been clear to me' to try to rebuild Russia ties:
3378,Trump decides against Russia 'war room' in the White House:
3379,Mexico not a NAFTA 'back door' for Chinese goods:
3380,"U.S., Mexico nearing deal on sugar:"
3381,Democrats aim to turn anti-Trump sentiment into votes in Virginia
3382,Kremlin denies accusations that Russia tried to hack U.S. voting equipment
3383,Top U.S. diplomat in China quits over Trump climate policy
3384,"White House wants healthcare vote this summer, tax reform in fall"
3385,Trump renews criticism of London Mayor Khan over attack
3386,Kellyanne Conway's husband says Trump tweets hurting legal case
3387,Trump lays out plan to privatize air traffic control system
3388,Trump will not block ex-FBI chief Comey's testimony:
3389,U.S. embassy in Egypt bans personnel from visiting religious sites outside Cairo
3390,Panama's president to visit Trump at White House on June 19
3391,U.S. plans to update self-driving guidelines in coming months
3392,No rehearing for ex-Illinois Governor Blagojevich; appeal planned
3393,Trump complicates travel ban case by grumbling at Justice Department
3394,U.S. top court again faults North Carolina on voting rights
3395,Bloomberg delivers U.S. pledge to continue Paris climate goals to U.N.
3396,Top court exempts church-affiliated hospitals from pension law
3397,"Deutsche Bank asks for more time for U.S. query on Trump, Russia:"
3398,New Jersey holds governor primaries under shadow of unpopular Christie
3399,"As Russia probe grinds on, Trump struggles to gain traction on agenda"
3400,Comey to be pressed on whether Trump interfered with Russia probe
3401,Trump criticized for tweet on London mayor after bridge attacks
3402,Deutsche Bank ignores U.S. Trump/Russia query:
3403,Putin's dinner with Michael Flynn: 'I didn't even really talk to him'
3404,Trump responds to UK attack with apparent criticism of London Mayor Sadiq Khan
3405,Trump not planning to invoke executive privilege for Comey testimony:
3406,Vice President Pence urges Congress to complete Obamacare repeal
3407,"Mattis praises China's efforts on North Korea, dials up pressure on South China Sea"
3408,"Facing hometown anger, some Republican lawmakers split from Trump on key issues"
3409,Trump administration moves to keep full CIA 'torture' report secret
3410,U.S. top court's Gorsuch says does not share 'cynicism' about government
3411,"Japan defense minister backs all U.S. options on North Korea, seeks deeper alliance"
3412, Could Trump use executive privilege to block Comey testimony?
3413,Will Trump block Comey testimony? White House does not know yet
3414,Texas governor signs relaxed version of voter ID legislation
3415,Trump to nominate Richard Spencer for Navy secretary:
3416,Trump makes two conservative picks for Fed:
3417,U.S. environmental agency chief says humans contribute to global warming
3418,Trump travel ban's fate hinges on emergency U.S. high court request
3419,Exclusive: Special counsel Mueller to probe ex-Trump aide Flynn's Turkey ties
3420, Behind Trump's bid to revive travel ban at the U.S. Supreme Court
3421,Lawyer withdraws from consideration for US Justice Dept post
3422,New York Governor Cuomo says will invest more in renewables to add jobs
3423,Comedian Kathy Griffin says her career is over after gory Trump photo
3424,Quick debt limit move needed as tax receipts slow:
3425,Trump's continued search for new FBI chief seen as chaotic:
3426,"Putin praises Trump, says U.S. spies may have faked hacking evidence"
3427,"Day before Comey appearance, U.S. intel chiefs to testify on surveillance"
3428,U.S. House to vote on Republican Dodd-Frank reform bill next week
3429,Ex-FBI chief Comey to testify next week in Russia probe
3430,Putin: Russia struck no secret agreements with Trump team
3431,Trump economic adviser Cohn says coal can be competitive again:
3432,"Trump dismays, angers allies by abandoning global climate pact"
3433,"Trump misunderstood MIT climate research, university officials say"
3434,Russia says still likely to back Paris climate deal despite U.S. withdrawal
3435,India says committed to climate pact despite U.S. withdrawal
3436,BHP disappointed by Trump withdrawal from Paris climate pact
3437,Paris climate deal cannot be renegotiated:
3438,Germany not mulling sanctions against U.S. after climate pact withdrawal
3439,Merkel: Paris climate pact needed for sake of Mother Earth
3440,Kremlin says Paris climate deal unworkable without U.S.:
3441,German minister says global climate deal will survive U.S. pull-out
3442,Comey to testify to U.S. Senate intelligence panel on June 8
3443,German industry says Trump's climate pact pull-out harms global economy
3444,"Musk, Iger to quit Trump advisory councils after Paris accord decision"
3445,France says will lead renewed effort to 'make the planet great again'
3446,China says it will stick to commitment to fight climate change
3447,China's media calls Trump's withdrawal from Paris accord 'global setback'
3448,Trump withdrawal from climate deal gets mixed response from U.S. companies
3449,Japan says U.S. withdrawal from global climate pact 'regrettable'
3450,U.S. environmental agency to offer buyouts to cut staff:
3451,Three lawmakers question Kushner Cos on concerns over White House tie
3452,"Trump's Paris decision followed debate between moderates, anti-globalists"
3453,"California, other states vow to lead as Trump exits Paris climate pact"
3454," Critics lament Trump climate move, supporters seek new deal"
3455,France's Macron says U.S. interests to be harmed by climate deal withdrawal
3456,Trump explained Paris accord decision to four leaders:
3457,Britain 'disappointed' with Trump's climate move
3458,U.S. travel sector to suffer if Trump reverses Cuba detente:
3459,Goldman's Blankfein criticizes U.S decision to leave Paris climate deal
3460,"Trump speaks to Merkel, Macron, Trudeau and May after climate speech:"
3461,Treasury chief 'confident' Congress will raise U.S. debt limit
3462,"France, Italy, Germany defend Paris Accord, say cannot be renegotiated"
3463,Trump budget chief under fire over attack on Congressional budget analysts
3464,U.N. says U.S. withdrawal from Paris deal 'major disappointment'
3465,France's Macron tells Trump Paris accords not renegotiable - source
3466,"U.S. coal stocks fall; exit from climate deal may hurt, not help"
3467,Paris mayor says Trump climate withdrawal 'a mistake with fatal consequences'
3468,"EU regrets U.S. withdrawal from climate deal, will seek other allies"
3469,Trump rejects future in pulling out of Paris climate pact:
3470,FCC to vote on revising rules on identifying threatening calls
3471,Trump delays moving U.S. embassy to Jerusalem despite campaign pledge
3472,Top House Intel panel Democrat rebukes chairman over subpoenas:
3473,UK's Farage 'person of interest' in Trump-Russia investigation:
3474,Germany's Merkel says Paris climate accord is an 'essential' pact
3475,Any U.S. withdrawal from Paris deal no good sign for aviation accord:
3476,Israel disappointed at Trump's decision not to move U.S. embassy
3477,'Die is cast': EU refrains from late appeal to Trump on climate
3478,"Fearing Trump's next move, liberals urge Supreme Court conservative Kennedy to stay"
3479,Vatican would see U.S. Paris deal exit as slap in face:
3480,Egypt defends NGO law U.S. senators call a draconian rights crackdown
3481,"In Illinois, partisan politics send budget battle into overtime"
3482,EU could respond to 'market distortions' if U.S. quits climate pact:
3483,Fed official says U.S. immigration crackdown could hit economy
3484,Weak inflation a worry but pressure likely building:
3485,"Trump administration approves tougher visa vetting, including social media checks"
3486,U.S. companies sign billions in deals with Vietnam
3487,Trump hails deals worth 'billions' with Vietnam
3488,White House unveils list of ex-lobbyists granted ethics waivers
3489,Former Vice President Biden to announce political action committee
3490,Kathy Griffin loses CNN deal after photos with fake severed Trump head
3491,"Dispute erupts over House panel subpoenas for CIA, FBI"
3492,U.S. says open to talks on protected status for Haitians
3493,Clinton says Trump campaign likely guided Russians before U.S. election
3494,"Trump blasts Russia probe, touts ex-adviser Page over FBI, CIA"
3495,Trump expected to delay U.S. embassy move to Jerusalem:
3496,"Texas Governor signs Dallas, Houston pension bills"
3497,World risks four-year legal grey zone if Trump quits climate pact
3498,Ex-NAACP chief Ben Jealous to run for Maryland governor
3499,Trump says will announce decision on Paris climate deal soon
3500,White House says will refer questions about Russia probes to Trump's attorney
3501,White House declines to say if Trump has made decision on climate accord
3502,VA chief presses Congress to make it easier to fire workers for misconduct
3503,Comey to confirm Trump pressured him on Flynn investigation:
3504,We don't know what Trump has decided on Paris climate deal:
3505,Talk of Trump pullout alarms backers of Paris climate accord
3506,U.S. did not forewarn EU on climate deal:
3507, U.S. carbon emissions seen declining over next decade
3508,Leaving the Paris climate deal will take the U.S. years:
3509,Trump to broaden exemptions to Obamacare birth control mandate:
3510,French envoy says Paris climate deal doesn't infringe on U.S. sovereignty
3511,U.S. withdrawal from climate deal would be 'big setback':
3512,EU ready for climate leadership in case of U.S. withdrawal from Paris deal
3513,Departure of communications aide could be first in Trump shake-up
3514,Former Trump adviser Flynn to turn over some documents subpoenaed by Senate panel:
3515,"Merkel, minister stress U.S. ties after critical Trump tweet"
3516,"White House says Trump, Merkel 'get along very well'"
3517,House panel has not subpoenaed Trump lawyer Michael Cohen:
3518,Trump jump starts search for FBI chief with two interviews
3519,Path cleared for Congress to consider U.S. arms sale to Riyadh:
3520,"Trump again urges Senate to loosen rules, push healthcare and tax reforms"
3521,U.S. Congress' Russia probes expand to Trump's personal lawyer:
3522,"Germany's Gabriel says ties with U.S. 'difficult', will improve"
3523,Major U.S. tech firms press Congress for internet surveillance reforms
3524,U.S. Supreme Court to hear Ohio's bid to revive voter purge policy
3525,U.S. senator calls for probe into promotion of Kushner Cos deal
3526,China is behaving like a 'bully' in South China Sea:
3527,Trump administration nearing completion of Cuba policy review:
3528,"In Texas legislature, tempers flare over immigration crackdown"
3529,Senator McCain says Putin bigger threat than ISIS
3530,Exclusive: Tillerson declines to host Ramadan event at State Department
3531,Trump attacks 'fake news' following Kushner reports
3532,U.S. might ban laptops on all flights into and out of the country
3533,McMaster says 'not concerned' after Kushner back-channel reports
3534,Exclusive: Trump son-in-law had undisclosed contacts with Russian envoy - sources
3535,Trump ends nine-day overseas trip with a flourish as trouble looms at home
3536,Former U.S. national security adviser Brzezinski dies at 89
3537,Trump travel ban fight heads toward Supreme Court showdown
3538,McMaster says 'of course' Trump supports NATO Article 5
3539,Texas governor draws criticism for joke about shooting journalists
3540,Russian with ties to former Trump aide wants immunity for testimony:
3541,White House agrees to detail ethics waivers
3542,Senate intelligence panel requests Trump campaign documents:
3543,Trump's bid to open U.S. monuments to development draws calls for protection
3544,"In shakeup, Trump to set up 'war room' to repel attacks over Russia probe"
3545,Boehner: Trump has been 'complete disaster'
3546,"Before the White House, Kennedy was a high-school prankster"
3547,Hillary Clinton attacks proposed Trump budget cuts as 'cruelty'
3548,Republican wins Montana special election despite assault charge
3549,U.S. takes 'full responsibility' for Manchester intelligence leaks:
3550,Trump son-in-law Kushner under FBI scrutiny in Russia probe:
3551,"In blow to Trump, U.S. appeals court refuses to reinstate travel ban"
3552,U.S. visas issued to citizens of Trump travel ban nations continue to decline
3553,"Trump directly scolds NATO allies, says they owe 'massive' sums"
3554,U.S. lawmakers reintroduce bill to end restrictions on Cuba travel
3555,Trump officials under fire over vague tax proposals
3556,Civil rights group sues in U.S. court over immigration detention
3557,U.S. lawmakers to fight massive Trump Saudi arms deal
3558,Trump arrives in Sicily ahead of Group of Seven summit
3559,House panel chairman says FBI declines for now to meet request for Comey-linked documents
3560,Lieberman withdraws from consideration to be FBI director
3561,FBI director search: back to drawing board for Trump team?
3562,U.S. bill would ban American tourist travel to North Korea
3563,Trump shoves fellow NATO leader aside on his first summit
3564,"NATO chief says Trump committed to alliance, 'blunt' on spending demands"
3565,Congress ends effort to kill limits on debit card fees
3566,"Trump talks trade with EU, varied differences remain"
3567,"Forget Trump White House, Belgium shows Melania the surreal"
3568,"Trump, Macron engage in a little handshake diplomacy"
3569,"'You were my guy,' Trump told Macron, French official says"
3570,Former CIA chief says he warned Moscow over election hacking
3571,Former CIA director worried Russia tried to recruit Americans
3572,U.S. senator says panel could take up Russia sanctions bill this summer
3573,"Trump, at NATO, vows unwavering fight against terrorism"
3574,Wilbur Ross seeks bigger budget for trade enforcement
3575,U.S. Senate committee passes bill to impose new sanctions on Iran
3576,Trump supports NATO's collective defense clause:
3577,U.S. Treasury sees business taxes as fruitful ground for bipartisan deal
3578,Trump says intelligence leaks 'deeply troubling'
3579,"Leaks of Manchester bomb probe 'reprehensible,' will stop:"
3580,"Despite vow, Trump Organization not tracking all profits from foreign governments"
3581,Republican congressional candidate in Montana cited with assaulting reporter
3582,Republican congressional candidate in Montana cited after incident with reporter - sheriff
3583,Russians discussed how to influence Trump via his aides:
3584,"Under U.S. Republican bill, 23 million would lose health coverage:"
3585,"Exclusive - Hate the tweets, love the agenda: McConnell on Trump"
3586,Treasury chief says reviewing Iran's aircraft licenses
3587,Russians talked about influencing Trump through advisers:
3588,"On trip abroad, Trump stays on script, but will it last?"
3589,"Exclusive: McConnell frets about healthcare, hopeful on tax overhaul"
3590,Trump budget cut bid would make it 'impossible' for U.N.:
3591,Exclusive: McConnell expects bipartisan support for bill reauthorizing FDA user fees
3592,"Vermont governor snuffs legal pot, tells lawmakers to 'get it right'"
3593,Former Trump campaign adviser Page to testify in Russia probe on June 6:
3594,Senior U.S. lawmakers call to condemn Turkey after Washington street brawl
3595,U.S. lawmakers gear up to block Trump plan to slash oil stockpile
3596,"Pope asks Trump to be peacemaker, gives him environmental letter"
3597,Trump retains Marc Kasowitz as private attorney for Russia probe:
3598,U.S. House Democrats seek info from Deutsche Bank on Trump accounts
3599,Paul Ryan says confident tax reform will pass in 2017:
3600,Paul Ryan urges health insurers to 'stick it out':
3601,Texas House approves new voter ID bill after setbacks in court
3602,Trump seeks to slash $3.6 trillion of spending in austere budget
3603,Ariana Grande returns to U.S. following Manchester bombing
3604,Ex-CIA chief: Worries grew of Trump campaign contacts to Russia
3605,White House says no evidence of Trump team collusion with Russians
3606,"Illinois Senate Democrats pass budget plan, hurdles seen in House"
3607,Trump budget cuts may stir backlash in rural America
3608,Republicans push back against Trump plan to cut foreign aid
3609,Senate panel says it will subpoena Michael Flynn businesses
3610,U.S. defense budget proposal sees modest increase despite hawkish rhetoric
3611,"U.S. budget proposes allowing new toll roads, higher airline security fees"
3612,"Trump proposes deep U.S. spending cuts in Mexico, Central America"
3613,U.S. farm groups oppose Trump's cuts to agriculture spending
3614,"In U.S. presidential first, Trump prays at Jerusalem's Western Wall"
3615,Texas House passes 'bathroom bill' targeting public schools
3616,Leader of moderate Republican House group resigns over healthcare
3617,U.S. derivatives regulator splits with White House over budget
3618,Trump budget would sell entire U.S. Northeast gasoline reserve
3619,White House budget envisions massive savings from Dodd-Frank rollback
3620,"CEOs of Target, ADM offer differing views on U.S. border tax at hearing"
3621,"Amid opposition, Trump makes low budget request for Mexico border wall"
3622,"Trump budget to increase growth by boosting investment, labor force:"
3623,White House budget slashes 'countering violent extremism' grants
3624,Mueller cleared by U.S. ethics experts to head Russia probe
3625,U.S. not started assessment on any Trump intel disclosure to Russia:
3626,U.S. intel chief declines comment on any Trump request about Russia
3627,U.S. intel chief says has no 'relevant' memo on any Trump talks on Russia
3628,Paul Ryan sees common ground with Trump budget plan
3629, Key points of Trump's 2018 budget proposal
3630,U.S. Labor Secretary says fiduciary rule to take effect on June 9
3631,U.S. Senate confirms Iowa Governor Branstad as ambassador to China
3632,"Trump budget wants to halve oil stockpile, open Arctic refuge to drilling"
3633,Trump budget calls for Wall Street regulators to face restructuring
3634,Trump's budget proposes converting some military grants to loans
3635,"Trump's budget depends on strong growth, 'feedback' for balance"
3636,White House proposes $46.54 billion in cuts to agriculture over ten years
3637,Chicago launches ad campaign to counter Trump's immigration efforts
3638,Justice Department asks U.S. judge to reconsider ruling against Trump sanctuary order
3639,"Trump can't stop American progress on climate, Al Gore tells Cannes"
3640,Flynn declines Senate subpoena in Russia probe
3641,Texas border county of El Paso sues to halt 'sanctuary cities' law
3642,"Trump administration wants Obamacare subsidy case put on hold, again"
3643,Trump close to picking outside counsel for Russia probe:
3644,Trump asked two top intelligence officials to deny Russia collusion:
3645,Former FBI chief Comey postpones testimony before House committee
3646,Senate intelligence to 'vigorously pursue' Flynn testimony
3647,"Trump says concerns about Iran driving Israel, Arab states closer"
3648,Mississippi lawmaker 'sorry' he urged lynching for statue removal
3649,Turkey summons U.S. envoy over Washington street brawl
3650,Supreme Court tosses Republican-drawn North Carolina voting districts
3651,Trump sets out Mideast vision: backing Arab strongmen against Iran
3652,"Trump, Netanyahu's wife lament negative media coverage"
3653,Senator asks ethics office to review Trump hotel payments
3654,Trump wants more U.S.-Israeli trade with narrower U.S. deficit
3655,U.S. Supreme Court leaves key campaign finance restriction in place
3656,Trump says Iran must stop funding and training 'terrorists and militias' immediately
3657,Exclusive: Trump EPA transition chief laments slow progress in killing green rules
3658,"In Israel, Trump says there is 'rare opportunity' for peace"
3659,Netanyahu: hope Trump visit will be 'milestone' for peace
3660,Tillerson: Trump is ready to engage personally in Middle East peace
3661,U.S. President Trump arrives in Israel on flight from Riyadh
3662,Israeli minister expresses concern over U.S.-Saudi arms deal
